,Unnamed: 0,시장/마트 이름,주소명,위도,경도
0,0,롯데마트 서울역점,한강대로 405,37.5548375992165,126.971732581232
1,1,이마트 신도림점,새말로 97,37.5070438414784,126.890227293528
2,2,광장시장,창경궁로 88,37.5701125140082,126.999707163125
3,3,통인시장,자하문로15길 18,37.5807670044059,126.969947621917
4,4,롯데백화점,남대문로 81,37.5647299033135,126.981730421825
5,5,신세계백화점,소공로 63,37.560919019936,126.980979034083
6,6,이마트 청계점,청계천로 400,37.5708105464699,127.021463886656
7,7,서울중앙시장,퇴계로85길 36,37.5673826454782,127.019763220778
8,8,남대문시장,남대문시장4길 21,37.5591863609004,126.977653709273
9,9,이마트 성수점,뚝섬로 379,37.5399292282845,127.053494215652
10,10,이마트 왕십리점,왕십리광장로 17,37.5614417528647,127.038394194396
11,11,금남시장,독서당로 303-7,37.5484529735689,127.022712788903
12,12,뚝도시장,성덕정15길 6-42,37.5381969676679,127.054279464809
13,13,롯데마트 강변점,광나루로56길 85,37.535725176732,127.095692162256
14,14,이마트 자양점,아차산로 272,37.5385582736952,127.072996184863
15,15,자양골목시장,자양로13길 59,37.5337982491512,127.081591476114
16,16,노룬산골목시장,뚝섬로 491,37.5364853966217,127.064877504721
17,17,홈플러스 동대문점,천호대로 133,37.5745483247197,127.03876781084
18,18,경동시장,고산자로36길 3,37.5790377655561,127.039142935818
19,19,청량리종합시장,고산자로36길 33,37.5793693928375,127.040298978938
20,20,롯데백화점 청량리점,왕산로 214,37.5841961381161,127.05114707633
21,21,우림시장,난곡로26길 4,37.4702978455407,126.920444121755
22,22,이마트 상봉점,상봉로 118,37.596467652374,127.09360845762
23,23,동원시장,면목로74길 45,37.5898383414266,127.089893155552
24,24,홈플러스 면목점,사가정로 332,37.5811863912514,127.08038084565
25,25,숭인시장,도봉로 45,37.6131435556689,127.02945322795
26,26,하나로클럽 미아점,도봉로33길 18,37.6215640795865,127.02650237659
27,27,수유재래시장,도봉로71길 2,37.6315550230292,127.023569595101
28,28,롯데백화점 미아점,도봉로 62,37.6145929759749,127.030517678336
29,29,방학동도깨비시장,도당로13길 11,37.6652418849676,127.035474580212
30,30,이마트 창동점,노해로65길 4,37.651636123068,127.046699282846
31,31,신창시장,덕릉로57길 30,37.6400338304906,127.037227148835
32,32,홈플러스 방학점,도봉로 678,37.6648602093274,127.043598783853
33,33,롯데백화점 노원점,동일로 1414,37.6552787315469,127.061391730931
34,34,홈플러스 중계점,동일로204가길 12,37.6398580838556,127.068668049616
35,35,공릉동 도깨비시장,동일로180길 53,37.6228631267523,127.077159401044
36,36,상계중앙시장,상계로23가길 24,37.6590491574409,127.07027676715
37,37,대조시장,불광로 11-1,37.6098186619168,126.927597677525
38,38,NC백화점 불광점,불광로 20,37.6097357749976,126.928938477038
39,39,이마트 은평점,은평로 111,37.6008254685415,126.920513478627
40,40,대림시장,응암로4길 26,37.5871616982388,126.917545647532
41,41,롯데슈퍼,거북골로 120,37.5754832622486,126.916097519773
42,42,인왕시장,통일로40안길 13-5,37.590851309695,126.943683636252
43,43,영천시장,통일로 189-1,37.570349534206,126.961866338275
44,44,현대백화점 신촌점,신촌로 83,37.5560830579515,126.935844876509
45,45,농협하나로마트 신촌점,신촌로 66,37.5560664973453,126.933116598433
46,46,망원시장,포은로8길 14,37.5562399990477,126.905628048053
47,47,홈플러스 월드컵점,월드컵로 240,37.5682884450841,126.897273034482
48,48,마포농수산물시장,월드컵로 235,37.5651993471439,126.898482842617
49,49,이마트 목동점,오목로 299,37.5260837006075,126.87035534357
50,50,신영시장,월정로 161-5,37.5330140502235,126.836024900774
51,51,목3동시장,목동중앙북로 29,37.5482645587152,126.866832553145
52,52,홈플러스 목동점,목동서로 170,37.5302447468035,126.873300065422
53,53,이마트 가양점,양천로 559,37.558194814626,126.861817646457
54,54,송화시장,강서로 263-29,37.5492163029375,126.834568189503
55,55,홈플러스 등촌점,공항대로41길 56,37.5601861543743,126.846328848733
56,56,화곡본동시장,까치산로 35,37.5428848423944,126.844129457318
57,57,고척근린시장,고척로32길 11-3,37.5021390555316,126.849792160513
58,58,남구로시장,구로동로26길 54,37.489880268896,126.886560199832
59,59,NC백화점 신구로점,구로중앙로 152,37.5011601442131,126.882773011925
60,60,현대시장,독산로41길 7,37.4598380529618,126.904342344121
61,61,남문시장,시흥대로114길 26,37.4677899276243,126.89956335056
62,62,홈플러스 독산점,시흥대로 391,37.4686638539154,126.896885338466
63,63,홈플러스 시흥점,시흥대로 201,37.4519047763825,126.900794781433
64,64,롯데백화점 영등포점,경인로 846,37.5156680341198,126.907665995469
65,65,이마트 이수점,사당로 300,37.4843790909712,126.980281616349
66,66,남성시장,동작대로29길 8,37.4881601088174,126.981564778638
67,67,관악신사시장(신림4동),신사로14길 58,37.4860492097724,126.916797242766
68,68,세이브 마트,난곡로 220,37.4742854376103,126.918058479434
69,69,신원시장(신림1동),신원로5길 19,37.4820390240616,126.927643480699
70,70,롯데백화점 관악점,봉천로 209,37.4904954867064,126.924981674031
71,71,원당종합시장,남부순환로248길 35,37.4744166924253,126.965907982938
72,72,신세계백화점 강남점,신반포로 176,37.5039351769908,127.002413006799
73,73,방배종합시장,방배천로16길 18,37.4820775787054,126.984021088378
74,74,뉴코아아울렛 강남점,잠원로 51,37.5092394548535,127.007438594863
75,75,하나로클럽 양재점,청계산로 10,37.4632288044056,127.043530153585
76,76,청담삼익시장,학동로101길 26,37.5224447996482,127.057620352182
77,77,이마트 역삼점,역삼로 310,37.4992355425931,127.048420861876
